airport,isDTW,lat,long,flightsDTW
MSS,0,44.935798645,-74.8455963135,0
MTJ,0,38.5097999573,-107.893997192,0
MUE,0,20.0013008118,-155.6679992676,0
MVY,0,41.3931007385,-70.6143035889,0
MWA,0,37.75500107,-89.01110077,0
MYU,0,60.3713989258,-166.2709960938,0
NIB,0,63.0186,-154.358002,0
NLG,0,56.0074996948,-161.1600036621,0
NME,0,60.4710006714,-164.7010040283,0
NUI,0,70.2099990845,-151.005996704,0
NUL,0,64.729301,-158.074005,0
OAJ,0,34.8292007446,-77.6120986938,0
OAK,0,37.721298,-122.221001,0
OBU,0,66.9123001099,-156.897003174,0
OGD,0,41.1958999634,-112.0120010376,0
OGG,0,20.8986,-156.429993,0
OGS,0,44.6819000244,-75.4654998779,0
OLF,0,48.0945014954,-105.574996948,0
OME,0,64.5121994019,-165.4450073242,0
ONT,0,34.0559997559,-117.6009979248,0
OOK,0,60.54140091,-165.0870056,0
ORH,0,42.2672996521,-71.8757019043,0
ORV,0,66.81790161,-161.0189972,0
OTH,0,43.417098999,-124.2460021973,0
OTZ,0,66.88469696,-162.598999,0
OWB,0,37.74010086,-87.16680145,0
PAH,0,37.060798645,-88.7738037109,0
PBG,0,44.6509017944,-73.4681015015,0
PDT,0,45.695098877,-118.841003418,0
PGA,0,36.92610168,-111.447998,0
PGD,0,26.92020035,-81.9905014,0
PGV,0,35.6352005,-77.38529968,0
PHF,0,37.13190079,-76.49299622,0
PIB,0,31.4671001434,-89.337097168,0
PIE,0,27.91020012,-82.68740082,0
PIH,0,42.9098014832,-112.5960006714,0
PIP,0,57.5803985596,-157.572006226,0
PIR,0,44.38270187,-100.2860031,0
PIZ,0,69.73290253,-163.0050049,0
PKA,0,60.70289993,-161.7779999,0
PKB,0,39.3451004028,-81.439201355,0
PNS,0,30.473400116,-87.1865997314,0
PQI,0,46.68899918,-68.0447998,0
PRC,0,34.65449905,-112.4199982,0
PSC,0,46.2647018433,-119.1190032959,0
PSG,0,56.80170059,-132.9450073,0
PSM,0,43.0778999329,-70.8233032227,0
PSP,0,33.82970047,-116.5070037842,0
PTH,0,56.9590988159,-158.6329956055,0
PTU,0,59.0113983154,-161.8200073242,0
PUB,0,38.289100647,-104.497001648,0
PUW,0,46.7439,-117.110001,0
PVC,0,42.0718994141,-70.2213973999,0
PVU,0,40.2192001343,-111.7229995728,0
PWM,0,43.64619827,-70.30930328,0
RAP,0,44.04529953,-103.0569992065,0
RBY,0,64.72720337,-155.4700012,0
RDD,0,40.50899887,-122.2929993,0
RDM,0,44.2541008,-121.1500015,0
RFD,0,42.195400238,-89.0971984863,0
RHI,0,45.6311988831,-89.4674987793,0
RIW,0,43.064201355,-108.459999084,0
RKD,0,44.06010056,-69.09919739,0
RKS,0,41.5942,-109.065001,0
RNO,0,39.4990997314,-119.7679977417,0
ROW,0,33.3016014099,-104.53099823,0
RSH,0,61.7788848877,-161.319458008,0
RST,0,43.9082984924,-92.5,0
RUT,0,43.52939987,-72.94960022,0
SAF,0,35.617099762,-106.088996887,0
SBA,0,34.42620087,-119.8399963,0
SBP,0,35.2368011475,-120.641998291,0
SBY,0,38.3404998779,-75.5102996826,0
SCC,0,70.19470215,-148.4649963,0
SCK,0,37.8941993713,-121.2379989624,0
SCM,0,61.8452987671,-165.570999146,0
SDP,0,55.3149986267,-160.5229949951,0
SDY,0,47.706902,-104.193001,0
SFB,0,28.7775993347,-81.2375030518,0
SGF,0,37.24570084,-93.38860321,0
SGU,0,37.036389,-113.510306,0
SGY,0,59.4600982666,-135.3159942627,0
SHD,0,38.2638015747,-78.8964004517,0
SHG,0,66.8880996704,-157.1620025635,0
SHH,0,66.249604,-166.089112,0
SHR,0,44.7691993713,-106.9800033569,0
SHV,0,32.446602,-93.8256,0
SHX,0,62.6922988892,-159.569000244,0
SIT,0,57.0471000671,-135.3619995117,0
SJC,0,37.362598,-121.929001,0
SJT,0,31.3577003479,-100.4960021973,0
SKK,0,64.37110138,-161.223999,0
SLK,0,44.3852996826,-74.206199646,0
SLN,0,38.7910003662,-97.6521987915,0
SLQ,0,61.7005004883,-157.166000366,0
SMF,0,38.695400238,-121.591003418,0
SMK,0,63.49010086,-162.1100006,0
SMX,0,34.89889908,-120.4570007,0
SNA,0,33.67570114,-117.8679962,0
SNP,0,57.167301178,-170.2200012207,0
SOW,0,34.265499115,-110.005996704,0
SPS,0,33.9888,-98.491898,0
SRQ,0,27.3953990936,-82.554397583,0
STC,0,45.5466003418,-94.0598983765,0
STG,0,56.5783004761,-169.662002563,0
STS,0,38.50899887,-122.8130035,0
SUX,0,42.40259933,-96.38439941,0
SVA,0,63.6864013672,-170.4929962158,0
TBN,0,37.74160004,-92.14070129,0
TEB,0,40.8501014709,-74.060798645,0
TKJ,0,63.32949829,-142.9539948,0
TLA,0,65.2404022217,-166.339004517,0
TLH,0,30.3964996338,-84.3503036499,0
TLJ,0,62.8944015503,-155.977005005,0
TNC,0,65.56310272,-167.9219971,0
TOG,0,59.0527992249,-160.3970031738,0
TOL,0,41.58679962,-83.80780029,0
TRI,0,36.475201,-82.407401,0
TUP,0,34.2681007385,-88.7698974609,0
TUS,0,32.1161003113,-110.9410018921,0
TVF,0,48.06570053,-96.18499756,0
TWF,0,42.4818,-114.487999,0
TXK,0,33.4537010193,-93.9909973145,0
TYR,0,32.3540992737,-95.4023971558,0
UIN,0,39.94269943,-91.19460297,0
UNK,0,63.88840103,-160.798996,0
UST,0,29.9592,-81.339798,0
VAK,0,61.5409,-165.6005,0
VCT,0,28.8526000977,-96.9185028076,0
